id,slug,lat,lon
1,bushy,51.410992,-0.335791
2,wimbledon,51.442078,-0.232215
3,banstead,51.307648,-0.184225
4,richmond,51.451962,-0.292886
5,woodhousemoor,53.808582,-1.560059
6,bramhall,53.374268,-2.160702
8,brighton,50.84214,-0.172498
9,cardiff,51.49736,-3.207107
10,albert,54.564972,-1.231788
11,basingstoke,51.258831,-1.082035
12,pollok,55.82992,-4.307882
14,gorleston,52.567806,1.73069
15,bedfont,51.440762,-0.451523
18,heaton,53.531975,-2.256263
19,roundshaw,51.352253,-0.11872
20,reading,51.460384,-0.941573
21,woodbank,53.408405,-2.130945
22,blackpark,51.540329,-0.5476
23,silksworth,54.883911,-1.409099
24,finsbury,51.569595,-0.104145
26,edinburgh,55.978806,-3.291585
27,bromley,51.386539,0.022874
28,southmanchester,53.446072,-2.224689
29,bexley,51.455132,0.113254
30,wakefieldthornes,53.672488,-1.509682
31,harrow,51.581781,-0.342734
34,hull,53.764645,-0.300708
35,hadleigh,51.549769,0.59606
38,banbury,52.068807,-1.332318
39,eastbourne,50.806248,0.290451
41,aberdeen,57.173898,-2.086256
44,grovelands,51.633076,-0.113769
45,lutonwardown,51.889853,-0.420917
46,basildon,51.577778,0.499615
47,plean,56.057791,-3.881607
48,kingsway,51.821487,-2.272804
49,frimleylodge,51.298622,-0.724851
50,ashtoncourt,51.443592,-2.639948
51,hackneymarshes,51.553686,-0.025368
53,averyhill,51.449459,0.075155
54,tamartrails,50.535163,-4.201763
56,olddeerpark,51.464417,-0.306973
57,townmoor,54.988451,-1.617143
58,colwick,52.945171,-1.09786
59,preston,53.751374,-2.703902
60,southampton,50.923624,-1.407766
61,lydiard,51.561489,-1.853621
63,rostrevor,54.099486,-6.193448
64,andover,51.221092,-1.512766
65,prudhoeriverside,54.968071,-1.863141
68,forestofdean,51.808701,-2.605219
69,coventry,52.39172,-1.524026
71,guildford,51.247383,-0.562062
72,hampsteadheath,51.558598,-0.168185
75,kingston,51.426567,-0.309516
76,brockwell,51.452538,-0.105464
77,leamington,52.28714,-1.504655
78,cannockchase,52.73744,-1.99542
79,maidstoneriverpark,51.29641,0.507689
81,oxford,51.790901,-1.262419
82,plymvalley,50.409091,-4.079618
83,trelissick,50.217331,-5.02826
84,riverfront,51.588559,-2.993317
86,endcliffe,53.368631,-1.507364
89,hyndburn,53.781711,-2.376734
91,southsea,50.785396,-1.046174
95,stalbans,51.75193,-0.355371
96,york,53.935375,-1.101379
97,havant,50.875771,-0.975565
98,rugby,52.37318,-1.238464
99,beckenhamplace,51.41853,-0.01959
100,whiteley,50.884669,-1.250819
101,norwich,52.620422,1.255682
102,torbayvelopark,50.423441,-3.564297
103,ashford,51.14347,0.864218
104,braunstone,52.626129,-1.178681
106,oldham,53.534187,-2.104118
107,rodingvalley,51.638607,0.066415
108,bedford,52.148125,-0.459366
109,millom,54.21399,-3.26996
111,dudley,52.490027,-2.134568
112,bestwoodvillage,53.022132,-1.171188
113,miltonkeynes,52.05011,-0.722984
114,hyde,53.45713,-2.076554
116,phoenix,53.337865,-2.681623
118,knowsley,53.411116,-2.811654
120,newtown,52.514658,-3.319012
121,bathskyline,51.372899,-2.330376
122,moorsvalley,50.85124,-1.849419
124,shipleycountry,53.008339,-1.359978
125,rickmansworth,51.633087,-0.47589
126,highburyfields,51.546959,-0.102884
127,halifax,53.731746,-1.873871
128,miltoncountry,52.236675,0.161906
131,listerpark,53.814575,-1.775102
132,canterbury,51.299468,1.057002
133,nonsuch,51.356926,-0.231078
137,sthelens,53.46322,-2.744088
138,royaltunbridgewells,51.133614,0.284851
140,sheptonmallet,51.187513,-2.542461
143,eastleigh,50.971433,-1.374032
148,boston,52.990156,-0.038556
149,lincoln,53.208848,-0.560904
151,pontefract,53.697922,-1.325197
153,rosliston,52.754526,-1.639681
154,crystalpalace,51.419846,-0.065703
155,carlisle,54.886025,-2.963455
156,whitleybay,55.048875,-1.448736
158,aviemore,57.205275,-3.818635
159,strathclyde,55.789631,-4.031425
160,camperdown,56.483681,-3.030896
161,minehead,51.207524,-3.469591
164,arrowvalley,52.305986,-1.913661
165,waterworks,54.619299,-5.942613
171,peacehaven,50.794092,0.012418
172,bournemouth,50.73362,-1.832732
174,mansfield,53.174034,-1.183844
176,brueton,52.406754,-1.764593
177,eglinton,55.643935,-4.669662
178,navan,53.661214,-6.693934
181,northampton,52.248143,-0.884445
182,markeaton,52.935408,-1.504769
183,valentines,51.56749,0.07198
184,oakhill,51.637718,-0.153744
185,greenock,55.956525,-4.767348
188,colchestercastle,51.89167,0.902724
189,cannonhill,52.452637,-1.89997
190,lloyd,51.364807,-0.079973
191,gunnersbury,51.499405,-0.292253
192,burnhamoncrouch,51.627409,0.810923
198,greenhamcommon,51.378426,-1.292267
199,warrington,53.384221,-2.574685
200,stonehaven,56.969993,-2.212502
201,worcester,52.186989,-2.178726
203,whitstable,51.365295,1.041942
204,westmill,51.821422,-0.060813
206,falkirk,55.99543,-3.766712
209,merthyr,51.73896,-3.375658
210,bracknell,51.390248,-0.776844
213,brierleyforest,53.131155,-1.295214
215,harrogate,53.992428,-1.521435
216,montrose,56.726297,-2.455223
217,lymingtonwoodside,50.747747,-1.54548
218,southnorwood,51.396111,-0.059908
221,southport,53.656276,-2.985341
222,wolverhampton,52.588775,-2.140875
224,gloucesternorth,51.878304,-2.231707
225,perth,56.40515,-3.435422
226,worcesterpitchcroft,52.201513,-2.231964
228,newport,51.559479,-3.030939
229,congleton,53.160781,-2.229795
230,wansteadflats,51.56078,0.014977
232,durham,54.767605,-1.558852
233,poole,50.720348,-1.968876
234,henleyonthames,51.531978,-0.919288
237,derrycity,55.006966,-7.318933
239,killerton,50.792835,-3.455007
240,barnsley,53.544369,-1.486115
241,riddlesdown,51.318485,-0.079549
242,chester,53.207796,-2.902368
244,kettering,52.384226,-0.710653
245,burystedmunds,52.224887,0.730183
246,marketharborough,52.474487,-0.924979
247,rothwell,53.750032,-1.473456
248,gateshead,54.944733,-1.602094
249,standrews,56.317711,-2.838234
250,nobles,54.166432,-4.480834
251,walsall,52.58725,-1.966252
252,penningtonflash,53.491608,-2.542745
254,pymmes,51.61887,-0.066953
255,princes,53.386456,-2.956975
258,huddersfield,53.650608,-1.800685
259,maesteg,51.609499,-3.665573
261,longeaton,52.895155,-1.285853
263,uptonhouse,50.734891,-2.013428
265,medina,50.725879,-1.143079
273,bolton,53.574715,-2.395615
274,edenproject,50.358315,-4.74285
275,raphael,51.585798,0.19249
276,ferrymeadows,52.565563,-0.308132
277,maldonprom,51.726742,0.68877
278,normanbyhall,53.638407,-0.659924
279,billericay,51.632966,0.417446
280,winchester,51.069286,-1.310849
282,wycomberye,51.62337,-0.74009
285,stevenage,51.902634,-0.17993
286,conkers,52.739475,-1.543021
288,barnstaple,51.072561,-4.053612
290,concord,53.424007,-1.441612
291,abingdon,51.667957,-1.277429
293,linfordwood,52.05864,-0.760168
294,gunpowder,51.676037,-0.000831
295,belfastvictoria,54.608785,-5.881573
296,sandwellvalley,52.521531,-1.97579
297,roundhay,53.83828,-1.496007
299,horsham,51.066504,-0.327885
300,allypally,51.595936,-0.12233
302,wormwoodscrubs,51.520412,-0.238523
304,barrow,54.117706,-3.218855
307,thornbury,51.606368,-2.530114
308,eastville,51.475453,-2.554304
309,hoblingwell,51.400981,0.098847
310,wythenshawe,53.405502,-2.288139
312,ecos,54.867371,-6.259117
313,kingslynn,52.752762,0.407446
314,southwickcountrypark,51.306461,-2.234092
317,windynook,54.940189,-1.563025
