id,slug,domain,name,events,finishers,finishes,volunteers,pbs,avg_time,groups,scraped_at
1,bushy,www.parkrun.org.uk,Bushy,"1,103","125,149","988,216","3,730","115,501",00:28:11,"4,062",2026-08-19T11:22:17.264926+00:00
2,wimbledon,www.parkrun.org.uk,Wimbledon Common,958,"45,799","319,227","1,798","43,270",00:27:54,"1,840",2026-08-19T11:22:20.390141+00:00
3,banstead,www.parkrun.org.uk,Banstead Woods,936,"20,447","165,562",805,"22,324",00:27:58,"1,136",2026-08-19T11:22:23.530880+00:00
4,richmond,www.parkrun.org.uk,Richmond,928,"47,613","306,025","1,857","40,181",00:28:31,"2,055",2026-08-19T11:22:26.670621+00:00
5,woodhousemoor,www.parkrun.org.uk,Woodhouse Moor,922,"49,368","359,731","3,065","54,612",00:28:09,"1,888",2026-08-19T11:22:29.810701+00:00
6,bramhall,www.parkrun.org.uk,Bramhall,850,"28,155","287,761","1,629","38,861",00:28:06,"1,106",2026-08-19T11:22:33.067899+00:00
8,brighton,www.parkrun.org.uk,Brighton & Hove,915,"33,456","325,351","2,576","46,623",00:27:21,"1,422",2026-08-19T11:22:36.211420+00:00
9,cardiff,www.parkrun.org.uk,Cardiff,884,"56,659","442,200","2,944","63,701",00:27:55,"2,217",2026-08-19T11:22:39.355623+00:00
10,albert,www.parkrun.org.uk,"Albert, Middlesbrough",885,"21,622","222,687","1,520","31,642",00:28:25,"1,033",2026-08-19T11:22:42.492535+00:00
11,basingstoke,www.parkrun.org.uk,Basingstoke,901,"28,109","318,382","2,182","41,502",00:29:57,"1,240",2026-08-19T11:22:45.634453+00:00
12,pollok,www.parkrun.org.uk,"Pollok, Glasgow",834,"35,552","276,318","2,271","42,045",00:28:07,"1,373",2026-08-19T11:22:48.781876+00:00
14,gorleston,www.parkrun.org.uk,Gorleston Cliffs,833,"20,938","202,672","1,164","26,111",00:29:21,"1,198",2026-08-19T11:22:51.929349+00:00
15,bedfont,www.parkrun.org.uk,Bedfont Lakes,804,"16,922","109,840","1,430","14,630",00:29:41,"1,202",2026-08-19T11:22:56.165793+00:00
18,heaton,www.parkrun.org.uk,Heaton,746,"41,565","400,539","2,484","57,081",00:30:06,"1,459",2026-08-19T11:22:59.305136+00:00
19,roundshaw,www.parkrun.org.uk,Roundshaw Downs,841,"12,909","101,588","1,002","12,440",00:29:37,850,2026-08-19T11:23:02.440433+00:00
20,reading,www.parkrun.org.uk,Reading,717,"27,053","182,558","1,465","27,440",00:28:13,"1,442",2026-08-19T11:23:05.582364+00:00
21,woodbank,www.parkrun.org.uk,Woodbank,797,"17,256","116,737",940,"16,595",00:29:34,928,2026-08-19T11:23:08.719773+00:00
22,blackpark,www.parkrun.org.uk,Black Park,830,"36,999","383,046","1,402","49,620",00:30:39,"1,474",2026-08-19T11:23:11.864771+00:00
23,silksworth,www.parkrun.org.uk,Silksworth,768,"12,850","113,513",985,"14,980",00:29:04,712,2026-08-19T11:23:15.012824+00:00
24,finsbury,www.parkrun.org.uk,Finsbury,736,"47,576","248,066","2,092","36,616",00:27:40,"2,085",2026-08-19T11:23:18.154178+00:00
26,edinburgh,www.parkrun.org.uk,Edinburgh,786,"54,595","348,898","2,570","49,128",00:27:10,"2,398",2026-08-19T11:23:21.293504+00:00
27,bromley,www.parkrun.org.uk,Bromley,792,"32,210","382,003","2,456","51,958",00:28:24,"1,129",2026-08-19T11:23:24.428418+00:00
28,southmanchester,www.parkrun.org.uk,South Manchester,754,"39,427","232,242","2,254","36,570",00:27:23,"1,755",2026-08-19T11:23:27.580611+00:00
29,bexley,www.parkrun.org.uk,Bexley,688,"21,948","210,506","1,500","29,261",00:30:46,996,2026-08-19T11:23:30.715141+00:00
30,wakefieldthornes,www.parkrun.org.uk,Wakefield Thornes,511,"18,454","127,191","1,313","19,085",00:30:34,924,2026-08-19T11:23:33.852663+00:00
31,harrow,www.parkrun.org.uk,Harrow,516,"14,094","109,550",894,"16,036",00:30:15,945,2026-08-19T11:23:36.997789+00:00
34,hull,www.parkrun.org.uk,Hull,789,"26,471","328,696","1,717","45,116",00:29:19,"1,056",2026-08-19T11:23:40.133564+00:00
35,hadleigh,www.parkrun.org.uk,"Hadleigh, Essex",432,"9,103","51,381",960,"7,929",00:33:39,570,2026-08-19T11:23:43.275317+00:00
38,banbury,www.parkrun.org.uk,Banbury,520,"15,893","114,537","1,372","16,584",00:30:07,"1,127",2026-08-19T11:23:46.417916+00:00
39,eastbourne,www.parkrun.org.uk,Eastbourne,704,"21,249","175,476","1,450","23,164",00:29:07,"1,287",2026-08-19T11:23:51.213657+00:00
41,aberdeen,www.parkrun.org.uk,Aberdeen,711,"22,617","181,935","1,403","26,941",00:28:08,"1,105",2026-08-19T11:23:54.348580+00:00
44,grovelands,www.parkrun.org.uk,"Grovelands, Enfield",773,"15,646","119,799",834,"16,460",00:28:19,960,2026-08-19T11:23:57.483370+00:00
45,lutonwardown,www.parkrun.org.uk,Luton Wardown,516,"15,391","139,575","1,356","19,755",00:32:26,885,2026-08-19T11:24:03.688530+00:00
46,basildon,www.parkrun.org.uk,Basildon,580,"12,239","90,850","1,097","14,292",00:31:45,652,2026-08-19T11:24:06.828729+00:00
47,plean,www.parkrun.org.uk,Plean,365,"6,743","21,792",900,"3,048",00:30:33,589,2026-08-19T11:24:09.966125+00:00
48,kingsway,www.parkrun.org.uk,"Kingsway, Gloucester",501,"15,005","101,975","1,197","15,153",00:30:04,"1,017",2026-08-19T11:24:13.105543+00:00
49,frimleylodge,www.parkrun.org.uk,Frimley Lodge,790,"33,866","308,092","1,985","41,285",00:29:13,"1,461",2026-08-19T11:24:16.248040+00:00
50,ashtoncourt,www.parkrun.org.uk,Ashton Court,708,"46,619","254,089","2,109","36,450",00:29:05,"2,022",2026-08-19T11:24:19.394085+00:00
51,hackneymarshes,www.parkrun.org.uk,Hackney Marshes,772,"34,253","172,994","1,830","23,882",00:26:47,"1,720",2026-08-19T11:24:22.531096+00:00
53,averyhill,www.parkrun.org.uk,Avery Hill,809,"18,144","150,730","1,314","19,920",00:29:12,"1,021",2026-08-19T11:24:27.108538+00:00
54,tamartrails,www.parkrun.org.uk,Tamar Trails,434,"10,704","44,701",632,"6,446",00:31:11,"1,020",2026-08-19T11:24:31.707386+00:00
56,olddeerpark,www.parkrun.org.uk,Old Deer Park,754,"18,691","80,497","1,076","9,308",00:29:03,"1,354",2026-08-19T11:24:34.840593+00:00
57,townmoor,www.parkrun.org.uk,Town Moor,715,"43,951","314,309","2,771","49,940",00:27:17,"1,815",2026-08-19T11:24:37.975387+00:00
58,colwick,www.parkrun.org.uk,Colwick,709,"25,534","183,302","1,668","26,944",00:30:50,"1,220",2026-08-19T11:24:42.548750+00:00
59,preston,www.parkrun.org.uk,Preston,635,"24,181","204,662","1,659","30,184",00:29:22,"1,247",2026-08-19T11:24:45.688322+00:00
60,southampton,www.parkrun.org.uk,Southampton,665,"48,237","508,884","3,405","71,360",00:28:49,"1,781",2026-08-19T11:24:48.831202+00:00
61,lydiard,www.parkrun.org.uk,Lydiard,745,"30,714","259,003","2,122","39,110",00:29:48,"1,450",2026-08-19T11:24:53.759923+00:00
63,rostrevor,www.parkrun.org.uk,Rostrevor,375,"5,231","17,873",418,"2,650",00:29:37,432,2026-08-19T11:24:56.909092+00:00
64,andover,www.parkrun.org.uk,Andover,740,"19,610","173,509","1,179","22,039",00:30:05,"1,128",2026-08-19T11:25:01.647203+00:00
65,prudhoeriverside,www.parkrun.org.uk,Prudhoe Riverside,425,"11,716","61,463","1,025","9,941",00:29:29,732,2026-08-19T11:25:06.538432+00:00
68,forestofdean,www.parkrun.org.uk,Forest of Dean,787,"17,203","75,626",999,"9,028",00:29:22,"1,396",2026-08-19T11:25:09.682832+00:00
69,coventry,www.parkrun.org.uk,Coventry,757,"39,378","387,280","2,050","55,952",00:29:33,"1,649",2026-08-19T11:25:12.822128+00:00
71,guildford,www.parkrun.org.uk,Guildford,610,"28,460","205,563","1,770","29,576",00:28:29,"1,370",2026-08-19T11:25:15.965477+00:00
72,hampsteadheath,www.parkrun.org.uk,Hampstead Heath,702,"44,633","200,845","1,783","28,318",00:28:52,"2,198",2026-08-19T11:25:19.106327+00:00
75,kingston,www.parkrun.org.uk,Kingston,777,"24,378","163,124","1,322","19,027",00:28:26,"1,460",2026-08-19T11:25:22.246982+00:00
76,brockwell,www.parkrun.org.uk,"Brockwell, Herne Hill",691,"37,286","189,395","2,033","28,735",00:26:38,"1,540",2026-08-19T11:25:25.381160+00:00
77,leamington,www.parkrun.org.uk,Leamington,734,"33,476","276,003","2,701","37,961",00:29:33,"1,657",2026-08-19T11:25:28.523118+00:00
78,cannockchase,www.parkrun.org.uk,Cannock Chase,413,"22,538","142,609","1,512","22,750",00:31:01,"1,161",2026-08-19T11:25:32.792675+00:00
79,maidstoneriverpark,www.parkrun.org.uk,Maidstone River Park,628,"20,905","198,372","1,443","26,862",00:30:14,"1,043",2026-08-19T11:25:35.924712+00:00
81,oxford,www.parkrun.org.uk,Oxford,684,"29,520","188,809","1,919","24,848",00:28:18,"1,858",2026-08-19T11:25:40.274708+00:00
82,plymvalley,www.parkrun.org.uk,Plymvalley,648,"17,866","117,790","1,378","18,330",00:30:40,"1,128",2026-08-19T11:25:43.414743+00:00
83,trelissick,www.parkrun.org.uk,Trelissick,426,"16,811","80,072",838,"10,771",00:31:36,"1,357",2026-08-19T11:25:46.548619+00:00
84,riverfront,www.parkrun.org.uk,Riverfront,410,"17,065","115,357","1,475","17,139",00:29:39,933,2026-08-19T11:25:49.697281+00:00
86,endcliffe,www.parkrun.org.uk,Endcliffe,725,"46,756","368,411","2,456","55,438",00:27:57,"1,719",2026-08-19T11:25:52.848943+00:00
89,hyndburn,www.parkrun.org.uk,Hyndburn,377,"9,130","46,285",860,"7,315",00:32:29,662,2026-08-19T11:25:55.987414+00:00
91,southsea,www.parkrun.org.uk,Southsea,596,"31,554","216,656","1,759","29,269",00:29:00,"1,566",2026-08-19T11:25:59.136475+00:00
95,stalbans,www.parkrun.org.uk,St Albans,692,"32,657","245,603","2,179","34,666",00:28:32,"1,508",2026-08-19T11:26:02.293433+00:00
96,york,www.parkrun.org.uk,York,606,"57,721","290,507","2,483","38,199",00:28:09,"2,632",2026-08-19T11:26:05.413120+00:00
97,havant,www.parkrun.org.uk,Havant,672,"18,691","143,309","1,323","18,971",00:31:00,"1,092",2026-08-19T11:26:09.979995+00:00
98,rugby,www.parkrun.org.uk,Rugby,402,"12,660","71,646","1,324","10,405",00:30:00,931,2026-08-19T11:26:13.129411+00:00
99,beckenhamplace,www.parkrun.org.uk,Beckenham Place,437,"17,938","107,826",853,"14,339",00:28:57,945,2026-08-19T11:26:16.263534+00:00
100,whiteley,www.parkrun.org.uk,Whiteley,387,"13,805","94,143","1,340","14,825",00:29:22,734,2026-08-19T11:26:19.402747+00:00
101,norwich,www.parkrun.org.uk,Norwich,766,"36,146","329,955","1,588","52,303",00:27:29,"1,369",2026-08-19T11:26:22.542627+00:00
102,torbayvelopark,www.parkrun.org.uk,Torbay Velopark,432,"21,002","119,708","1,407","19,110",00:29:46,"1,446",2026-08-19T11:26:25.678393+00:00
103,ashford,www.parkrun.org.uk,Ashford,575,"16,257","134,412","1,400","20,429",00:29:41,909,2026-08-19T11:26:28.815979+00:00
104,braunstone,www.parkrun.org.uk,Braunstone,756,"25,057","228,076","2,193","32,690",00:28:44,"1,276",2026-08-19T11:26:31.963266+00:00
106,oldham,www.parkrun.org.uk,Oldham,745,"18,292","126,474","1,204","18,683",00:30:02,979,2026-08-19T11:26:35.109173+00:00
107,rodingvalley,www.parkrun.org.uk,Roding Valley,424,"9,828","50,717",611,"7,297",00:29:12,667,2026-08-19T11:26:38.252239+00:00
108,bedford,www.parkrun.org.uk,Bedford,703,"25,486","225,314","1,732","33,370",00:29:39,"1,196",2026-08-19T11:26:41.397018+00:00
109,millom,www.parkrun.org.uk,Millom,431,"3,349","19,691",277,"2,707",00:32:20,515,2026-08-19T11:26:45.625058+00:00
111,dudley,www.parkrun.org.uk,Dudley,385,"14,653","83,001","1,467","13,529",00:31:00,882,2026-08-19T11:26:48.767635+00:00
112,bestwoodvillage,www.parkrun.org.uk,Bestwood Village,429,"10,750","48,670","1,014","6,796",00:33:08,774,2026-08-19T11:26:53.291342+00:00
113,miltonkeynes,www.parkrun.org.uk,Milton Keynes,778,"40,626","359,922","3,094","51,733",00:30:37,"1,684",2026-08-19T11:26:56.421785+00:00
114,hyde,www.parkrun.org.uk,Hyde,430,"11,480","62,634",817,"9,786",00:30:28,689,2026-08-19T11:26:59.561041+00:00
116,phoenix,www.parkrun.org.uk,Phoenix,410,"9,103","36,506",745,"5,745",00:31:41,688,2026-08-19T11:27:02.705411+00:00
118,knowsley,www.parkrun.org.uk,Knowsley,415,"11,341","43,008",838,"6,344",00:31:07,874,2026-08-19T11:27:06.981880+00:00
120,newtown,www.parkrun.org.uk,Newtown,370,"8,343","52,522",487,"7,667",00:30:52,824,2026-08-19T11:27:10.119213+00:00
121,bathskyline,www.parkrun.org.uk,Bath Skyline,539,"30,230","149,498","1,676","20,471",00:29:01,"1,861",2026-08-19T11:27:13.263153+00:00
122,moorsvalley,www.parkrun.org.uk,Moors Valley,471,"31,790","214,179","1,809","30,621",00:30:31,"1,495",2026-08-19T11:27:16.405006+00:00
124,shipleycountry,www.parkrun.org.uk,Shipley Country,389,"14,263","68,202","1,350","10,271",00:32:08,946,2026-08-19T11:27:19.542551+00:00
125,rickmansworth,www.parkrun.org.uk,Rickmansworth,425,"26,674","190,900","1,500","29,507",00:29:45,"1,262",2026-08-19T11:27:22.678806+00:00
126,highburyfields,www.parkrun.org.uk,Highbury Fields,708,"45,522","203,792","1,690","28,251",00:27:07,"2,206",2026-08-19T11:27:25.818411+00:00
127,halifax,www.parkrun.org.uk,Halifax,499,"13,386","75,127","1,201","12,099",00:30:46,844,2026-08-19T11:27:30.043892+00:00
128,miltoncountry,www.parkrun.org.uk,Milton Country,687,"29,759","233,033","2,463","35,735",00:28:16,"1,538",2026-08-19T11:27:33.181761+00:00
131,listerpark,www.parkrun.org.uk,"Lister Park, Bradford",756,"26,583","239,696","2,038","36,985",00:30:33,"1,078",2026-08-19T11:27:36.318153+00:00
132,canterbury,www.parkrun.org.uk,Canterbury,572,"11,609","65,220",968,"8,419",00:30:25,943,2026-08-19T11:27:39.453936+00:00
133,nonsuch,www.parkrun.org.uk,Nonsuch,692,"38,688","370,602","2,790","48,787",00:28:57,"1,500",2026-08-19T11:27:42.591284+00:00
137,sthelens,www.parkrun.org.uk,St Helens,551,"16,537","146,424","1,202","20,706",00:31:18,797,2026-08-19T11:27:45.740529+00:00
138,royaltunbridgewells,www.parkrun.org.uk,Royal Tunbridge Wells,550,"17,342","113,333","1,090","14,619",00:30:00,992,2026-08-19T11:27:48.883663+00:00
140,sheptonmallet,www.parkrun.org.uk,Shepton Mallet,377,"11,686","64,999","1,019","10,247",00:30:22,964,2026-08-19T11:27:52.017590+00:00
143,eastleigh,www.parkrun.org.uk,Eastleigh,739,"21,597","147,177","1,994","20,573",00:30:06,"1,265",2026-08-19T11:27:55.161670+00:00
148,boston,www.parkrun.org.uk,Boston,490,"9,620","69,780",914,"9,917",00:31:09,900,2026-08-19T11:27:59.609376+00:00
149,lincoln,www.parkrun.org.uk,Lincoln,580,"23,268","199,397","1,551","30,109",00:30:06,"1,258",2026-08-19T11:28:02.760362+00:00
151,pontefract,www.parkrun.org.uk,Pontefract,718,"25,117","182,629","1,631","27,097",00:30:14,"1,262",2026-08-19T11:28:07.330601+00:00
153,rosliston,www.parkrun.org.uk,Rosliston,473,"15,666","91,807","1,458","11,930",00:33:21,"1,071",2026-08-19T11:28:12.154084+00:00
154,crystalpalace,www.parkrun.org.uk,Crystal Palace,727,"26,125","182,838","1,483","24,856",00:28:17,"1,328",2026-08-19T11:28:15.285903+00:00
155,carlisle,www.parkrun.org.uk,Carlisle,621,"13,266","112,973",920,"15,088",00:29:48,"1,126",2026-08-19T11:28:18.419831+00:00
156,whitleybay,www.parkrun.org.uk,Whitley Bay,592,"27,313","207,611","1,790","28,337",00:28:14,"1,373",2026-08-19T11:28:21.582896+00:00
158,aviemore,www.parkrun.org.uk,Aviemore,394,"13,833","31,736",438,"3,872",00:29:04,"1,228",2026-08-19T11:28:24.717036+00:00
159,strathclyde,www.parkrun.org.uk,Strathclyde,718,"26,693","173,172","1,778","28,725",00:28:15,"1,146",2026-08-19T11:28:27.848346+00:00
160,camperdown,www.parkrun.org.uk,"Camperdown, Dundee",651,"14,902","114,226","1,022","16,126",00:30:04,919,2026-08-19T11:28:30.982416+00:00
161,minehead,www.parkrun.org.uk,Minehead,439,"14,284","52,857",637,"6,449",00:30:34,"1,346",2026-08-19T11:28:34.117512+00:00
164,arrowvalley,www.parkrun.org.uk,Arrow Valley,655,"26,072","220,446","1,974","30,896",00:29:49,"1,332",2026-08-19T11:28:38.302315+00:00
165,waterworks,www.parkrun.org.uk,"Waterworks, Belfast",763,"16,348","164,915","1,217","21,308",00:28:53,636,2026-08-19T11:28:42.592181+00:00
171,peacehaven,www.parkrun.org.uk,Peacehaven,397,"7,446","44,373",870,"6,783",00:31:53,573,2026-08-19T11:28:45.723206+00:00
172,bournemouth,www.parkrun.org.uk,Bournemouth,596,"31,574","251,636","2,175","32,054",00:28:43,"1,603",2026-08-19T11:28:48.853921+00:00
174,mansfield,www.parkrun.org.uk,Mansfield,630,"9,870","57,500",737,"9,873",00:28:54,726,2026-08-19T11:28:51.988706+00:00
176,brueton,www.parkrun.org.uk,Brueton,766,"29,416","280,152","1,872","38,273",00:28:55,"1,451",2026-08-19T11:28:55.120594+00:00
177,eglinton,www.parkrun.org.uk,Eglinton,608,"10,100","81,152","1,056","11,628",00:29:36,609,2026-08-19T11:28:58.258676+00:00
178,navan,www.parkrun.ie,Navan,485,"6,609","50,880",718,"7,627",00:31:49,338,2026-08-19T11:29:01.597902+00:00
181,northampton,www.parkrun.org.uk,Northampton,662,"27,055","240,139","2,068","35,433",00:29:25,"1,299",2026-08-19T11:29:04.713865+00:00
182,markeaton,www.parkrun.org.uk,Markeaton,554,"30,630","202,474","1,833","32,718",00:29:24,"1,488",2026-08-19T11:29:07.862841+00:00
183,valentines,www.parkrun.org.uk,Valentines,741,"24,524","169,593","1,564","21,032",00:31:32,"1,632",2026-08-19T11:29:10.994462+00:00
184,oakhill,www.parkrun.org.uk,Oak Hill,712,"17,944","148,434","1,120","20,414",00:28:59,"1,057",2026-08-19T11:29:14.105653+00:00
185,greenock,www.parkrun.org.uk,Greenock,568,"7,935","59,142",663,"7,268",00:27:47,629,2026-08-19T11:29:17.235439+00:00
188,colchestercastle,www.parkrun.org.uk,Colchester Castle,618,"22,173","185,270","2,322","26,928",00:29:33,"1,155",2026-08-19T11:29:21.524748+00:00
189,cannonhill,www.parkrun.org.uk,"Cannon Hill, Birmingham",725,"43,740","373,977","2,977","53,912",00:28:23,"1,805",2026-08-19T11:29:24.651439+00:00
190,lloyd,www.parkrun.org.uk,"Lloyd, Croydon",775,"17,037","131,316","1,318","17,001",00:30:59,"1,015",2026-08-19T11:29:27.782318+00:00
191,gunnersbury,www.parkrun.org.uk,Gunnersbury,690,"36,437","295,776","2,248","39,930",00:28:50,"1,823",2026-08-19T11:29:30.913962+00:00
192,burnhamoncrouch,www.parkrun.org.uk,Burnham-on-Crouch,397,"5,252","37,682",517,"4,951",00:31:12,414,2026-08-19T11:29:34.045336+00:00
198,greenhamcommon,www.parkrun.org.uk,"Greenham Common, Newbury",685,"31,337","269,824","2,491","36,593",00:29:32,"1,513",2026-08-19T11:29:37.176047+00:00
199,warrington,www.parkrun.org.uk,Warrington,586,"28,464","224,449","1,351","35,226",00:30:16,"1,237",2026-08-19T11:29:40.305247+00:00
200,stonehaven,www.parkrun.org.uk,Stonehaven,446,"5,325","24,506",628,"3,602",00:31:11,452,2026-08-19T11:29:44.463323+00:00
201,worcester,www.parkrun.org.uk,Worcester,721,"29,536","308,866","2,028","39,714",00:30:15,"1,464",2026-08-19T11:29:47.599589+00:00
203,whitstable,www.parkrun.org.uk,Whitstable,767,"23,759","198,845","1,208","22,744",00:30:07,"1,268",2026-08-19T11:29:50.730179+00:00
204,westmill,www.parkrun.org.uk,Westmill,407,"10,270","35,060","1,016","4,190",00:32:04,850,2026-08-19T11:29:54.993353+00:00
206,falkirk,www.parkrun.org.uk,Falkirk,661,"17,614","140,521","1,508","21,821",00:28:47,989,2026-08-19T11:29:58.123776+00:00
209,merthyr,www.parkrun.org.uk,Merthyr,386,"5,793","18,148",821,"2,646",00:29:27,592,2026-08-19T11:30:01.258400+00:00
210,bracknell,www.parkrun.org.uk,Bracknell,501,"20,160","147,727","1,459","22,635",00:31:44,"1,048",2026-08-19T11:30:04.387516+00:00
213,brierleyforest,www.parkrun.org.uk,Brierley Forest,416,"16,518","85,120","1,294","13,233",00:31:19,"1,048",2026-08-19T11:30:07.519441+00:00
215,harrogate,www.parkrun.org.uk,Harrogate,693,"31,208","233,472","2,022","31,178",00:28:33,"1,559",2026-08-19T11:30:10.650636+00:00
216,montrose,www.parkrun.org.uk,Montrose,399,"6,492","50,937",823,"7,430",00:31:50,419,2026-08-19T11:30:14.978150+00:00
217,lymingtonwoodside,www.parkrun.org.uk,Lymington Woodside,426,"15,686","59,876",697,"7,964",00:29:07,"1,215",2026-08-19T11:30:18.110652+00:00
218,southnorwood,www.parkrun.org.uk,South Norwood,414,"11,668","63,848",906,"8,830",00:29:41,774,2026-08-19T11:30:21.241411+00:00
221,southport,www.parkrun.org.uk,Southport,463,"17,241","148,888",980,"20,327",00:30:21,"1,021",2026-08-19T11:30:25.714592+00:00
222,wolverhampton,www.parkrun.org.uk,Wolverhampton,625,"21,827","184,798","1,918","29,169",00:29:46,"1,075",2026-08-19T11:30:28.860061+00:00
224,gloucesternorth,www.parkrun.org.uk,Gloucester North,461,"10,578","53,854",931,"7,812",00:30:18,870,2026-08-19T11:30:33.120867+00:00
